pit_id,src_year,lat_dd,lon_dd,in_aoi,has_coordinates,saxaul_status,label_role,label_strength,label_weight,confidence,evidence_source,role_reason,landform_vegetation,evidence_quote,has_narrative_block
18/14,2014,45.69969444444444,61.59225,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Небольшой участок / однолетнесолянковые с тамариксом,Небольшой участок / однолетнесолянковые с тамариксом,True
18А/12,2012,45.73072222222223,60.27125,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Плоская поверхность / единичные кустики солянок,Плоская поверхность / единичные кустики солянок,True
19/13,2013,46.3815,61.78086111111111,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Увалистые поверхности / полынная растительность,Увалистые поверхности / полынная растительность,True
19/14,2014,45.684305555555554,61.61361111111111,True,True,absent_recorded,exclude,,0.0,low,morphology,"agriculture/ploughed land, not candidate terrain",Старая залежь,Старая залежь,True
19А/12,2012,45.71344444444445,60.293416666666666,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Плоская поверхность / редкие мелкие единичные кустики солянок,Плоская поверхность / редкие мелкие единичные кустики солянок,True
1А/12,2012,46.09297222222222,60.86783333333334,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),"Плоская надпойменная равнина с небольшими песчаными бугорками / кустарниково-солянковой растительностью (селитрянка, солянка супротивнолистная, лебеда солончаковая, кермек Гмелина)","Плоская надпойменная равнина с небольшими песчаными бугорками / кустарниково-солянковой растительностью (селитрянка, солянка супротивнолистная, лебеда солончаковая, кермек Гмелина)",True
20/13,2013,46.367416666666664,61.686249999999994,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),"Слабоволнистая равнина / полынная, эбелек, эфемеры","Слабоволнистая равнина / полынная, эбелек, эфемеры",True
20А/12,2012,45.70897222222222,60.316861111111116,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),"Бугристая плоская равнина, место старого городища / карабарак, солянки","Бугристая плоская равнина, место старого городища / карабарак, солянки",True
21/13,2013,46.49675,61.62433333333333,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Высокие бугристые пески / эркеково-джузгуновой,Высокие бугристые пески / эркеково-джузгуновой,True
21/14,2014,45.63622222222222,61.61516666666667,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Увалисто-волнистая поверхность / осочково-полынная с эфемерами,Увалисто-волнистая поверхность / осочково-полынная с эфемерами,True
22А/12,2012,45.697694444444444,60.42080555555555,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Плоская поверхность / лебедой солончаковой,Плоская поверхность / лебедой солончаковой,True
23/14,2014,45.60194444444445,61.563027777777776,True,True,present_dominant,positive,strong,1.0,high,narrative,saxaul established at pit (present_dominant),Поверхность отакырена / эфемерово-саксауловой,Разрез на плоской поверхности под эфемерово-саксауловой растительностью.,True
23А/12,2012,45.77761111111111,60.464555555555556,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Плоская поверхность / солянковой растительностью,Плоская поверхность / солянковой растительностью,True
24/13,2013,46.37130555555556,61.57161111111112,True,True,sparse_suppressed,positive,weak,0.6,low,narrative,natural sparse/suppressed saxaul at pit (marginal but supports it),"Высокие волнистые поверхности / полынная с пятнами биюргуна, саксаул, эфемеры","Растительность – полынная с пятнами биюргуна, единично – низкий саксаул (30-40 см), есть эфемеры (мортук).",True
24/14,2014,45.60194444444445,61.56366975961089,True,True,planted_failed,negative,strong,1.0,high,narrative,documented plantation failure (gold negative),Распаханный массив / посадка саксаула,"Посадка неудачно прижилась, меньше, чем на естественном участке, только землю испортили.",True
24А/12,2012,45.78938888888889,60.4445,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Плоская поверхность / солянковой растительностью,Плоская поверхность / солянковой растительностью,True
25/13,2013,46.321472222222226,61.490972222222226,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Равнинные пески / осочково-полынной с терескеном,Равнинные пески / осочково-полынной с терескеном,True
25/14,2014,,,False,False,sparse_suppressed,positive,weak,0.6,low,narrative,natural sparse/suppressed saxaul at pit (marginal but supports it),Плоская поверхность / полынно-кейреуковая,"Растительность полынно-кейреуковая с однолетними солянками, кое-где одиночные кусты саксаула, Вдоль каналов – тамариск.",True
26/13,2013,46.225861111111115,61.39,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Плоская равнина / биюргуновая,Плоская равнина / биюргуновая,True
27/13,2013,46.225861111111115,61.39,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Плоская равнина / кейреуково-полынной,Плоская равнина / кейреуково-полынной,True
28/13,2013,46.21738888888889,61.27475,True,True,present_nearby,uncertain,,0.0,medium,narrative,ambiguous (present_nearby); excluded from training,Межбугровое пространство / полынной с эфемерами,"Есть песчаная акация, отдельные саксаульчики, курчава, изень.",True
28/14,2014,45.79738888888889,61.70741666666667,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Плоская равнина / полынно-карабараковая,Плоская равнина / полынно-карабараковая,True
29/13,2013,46.176249999999996,61.25863888888889,True,True,present_nearby,uncertain,,0.0,medium,narrative,ambiguous (present_nearby); excluded from training,Равнинные пески / осочково-эбелековой,"Поверхность волнистая, на водоразделах кустарники, в основном саксаул, терескен, полынь.",True
29/14,2014,45.72175,61.706583333333334,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Абсолютно плоская равнина / сарсазановая,Абсолютно плоская равнина / сарсазановая,True
2А/12,2012,46.08372222222223,60.86691666666667,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Плоская равнина / солянковой растительностью,Плоская равнина / солянковой растительностью,True
30/13,2013,46.08377777777778,61.16363888888889,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Высокие волнистые поверхности / осочково-полынной,Высокие волнистые поверхности / осочково-полынной,True
30/14,2014,45.831611111111116,61.717777777777776,True,True,absent_recorded,exclude,,0.0,low,morphology,"floodplain/reed/chingil wetland, not candidate terrain",Огромная плоская депрессия / тростниковая,Огромная плоская депрессия / тростниковая,True
32/14,2014,45.78322222222222,61.82222222222222,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Увалистый массив / осочково-полынной,Увалистый массив / осочково-полынной,True
33/14,2014,45.81388888888888,61.847972222222225,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Плоская поверхность / солянковая с кустарниками,Плоская поверхность / солянковая с кустарниками,True
34/14,2014,45.80422222222222,61.93469444444444,True,True,absent_recorded,exclude,,0.0,low,morphology,"agriculture/ploughed land, not candidate terrain",Рисовое поле,Рисовое поле,True
35/14,2014,45.79880555555555,61.56722222222223,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Сильно нарушенная территория,Сильно нарушенная территория,True
37/14,2014,45.84022222222222,61.56077777777777,True,True,absent_recorded,exclude,,0.0,low,morphology,"floodplain/reed/chingil wetland, not candidate terrain",Депрессия / низкий тростник,Депрессия / низкий тростник,True
3А/12,2012,46.08502777777778,60.86188888888889,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Плоская поверхность / кустарниковой растительностью (селитрянка) с редкими солянками,Плоская поверхность / кустарниковой растительностью (селитрянка) с редкими солянками,True
4А/12,2012,46.06888888888889,60.934666666666665,True,True,present,positive,strong,1.0,medium,narrative,saxaul established at pit (present),Плоская поверхность / кустарниково-солянковой растительностью,"Разрез заложен на плоской поверхности под кустарниково-солянковой растительностью (кустарники – тамарикс, саксаул, селитрянка; растительность – солянка супротиволистная, лебеда солончаковая и др.",True
5А/12,2012,46.08605555555556,60.95527777777778,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Плоская поверхность / кустарниково-солянковой растительностью,Плоская поверхность / кустарниково-солянковой растительностью,True
6А/12,2012,46.034388888888884,61.03402777777777,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Плоская поверхность / солянково-кустарниковой растительностью,Плоская поверхность / солянково-кустарниковой растительностью,True
7А/12,2012,46.03138888888889,61.01616666666666,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Плоская поверхность / солянковой растительностью с единичными кустами селитрянки,Плоская поверхность / солянковой растительностью с единичными кустами селитрянки,True
8А/12,2012,46.01891666666666,60.989472222222226,True,True,sparse_suppressed,positive,weak,0.6,medium,both,natural sparse/suppressed saxaul at pit (marginal but supports it),"Рельеф – мелкобугристый / солянковой растительностью (карабарак, кустарники солелюбивые) с единичными экземплярами саксаула","Рельеф – мелкобугристый / солянковой растительностью (карабарак, кустарники солелюбивые) с единичными экземплярами саксаула",True
9А/12,2012,46.03363888888889,60.946888888888886,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),"Плоская поверхность морского дна / кустарниково-солянковой растительностью (карабарак, кермек, солянка супротивнолистная, тамарикс)","Плоская поверхность морского дна / кустарниково-солянковой растительностью (карабарак, кермек, солянка супротивнолистная, тамарикс)",True
